FED_NUM,NID,FEDNUM,ENNAME,FRNAME,PROVCODE,CREADT,REVDT,REPORDER,DECPOPCNT,QUIPOPCNT,ENLEGALDSC,FRLEGALDSC,WINPARTY,WINPCT,WINVOTES,TOTALVOTES,BQ,CON,GREEN,IND,LIB,NDP,PPC,OTHER
"24035",{5FEFFFD6-E88A-4893-9122-C8964E00F08B},"24035",Lac-Saint-Jean,Lac-Saint-Jean,QC,"20131005",,"2013","105783","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24035&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24035&lang=f#descrip,BQ,"43.961495200000002","23839","54227","23839","12544","1010","0","13633","2753","448","0"
"24034",{26E9BB15-2E11-4BC2-8F9F-35FC2DFD836E},"24034",La Prairie,La Prairie,QC,"20131005",,"2013","99811","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24034&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24034&lang=f#descrip,BQ,"41.764008250000003","25707","61553","25707","5540","2565","0","22504","4744","393","100"
"24033",{ACB50135-5329-4668-ADE6-FFF6937FD9CC},"24033",La Pointe-de-l'Île,La Pointe-de-l'Île,QC,"20131005",,"2013","103512","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24033&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24033&lang=f#descrip,BQ,"46.836172429999998","26010","55534","26010","3984","1910","0","16898","6057","388","287"
"24032",{920F1566-3204-48FA-B6C9-7FE26DC9C534},"24032",Jonquière,Jonquière,QC,"20131005",,"2013","87596","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24032&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24032&lang=f#descrip,BQ,"35.604756209999998","17577","49367","17577","10338","1009","0","7849","12141","453","0"
"24031",{58D9D46D-3D28-4F87-B7F2-5EBBC7A1F63E},"24031",Joliette,Joliette,QC,"20131005",,"2013","100683","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24031&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24031&lang=f#descrip,BQ,"58.215913620000002","33590","57699","33590","5176","2343","0","12995","2623","498","474"
"24030",{B3BF7B25-846F-42F0-83DA-317706CEF98B},"24030",Hull--Aylmer,Hull--Aylmer,QC,"20131005",,"2013","103447","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24030&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24030&lang=f#descrip,LIB,"54.065062830000002","29732","54993","8011","4979","3869","0","29732","7467","638","297"
"24029",{377DCF6F-AB28-436B-9EE1-580C08A0A404},"24029",Honoré-Mercier,Honoré-Mercier,QC,"20131005",,"2013","102587","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24029&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24029&lang=f#descrip,LIB,"58.660127469999999","29543","50363","9979","4808","1373","0","29543","4130","459","71"
"24028",{F4D357A4-C901-485C-9F15-23E087149232},"24028",Hochelaga,Hochelaga,QC,"20131005",,"2013","103436","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24028&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24028&lang=f#descrip,LIB,"33.953654999999998","18008","53037","17680","2381","2618","0","18008","11451","377","522"
"24027",{38323016-F94C-4A0F-949B-2CBA151CAFDC},"24027",Gatineau,Gatineau,QC,"20131005",,"2013","106424","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24027&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24027&lang=f#descrip,LIB,"52.137748060000000","29084","55783","11926","5745","2264","0","29084","6128","560","76"
"24026",{CF02F254-5D4A-43BF-A5FC-020F24024DE3},"24026",Gaspésie--Les Îles-de-la-Madeleine,Gaspésie--Les Îles-de-la-Madeleine,QC,"20131005",,"2013","78833","0",http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24026&lang=e#descrip,http://www.elections.ca/res/cir/maps2/mapprov.asp?map=24026&lang=f#descrip,LIB,"42.459614379999998","16296","38380","15659","3022","1130","0","16296","1722","198","353"
